10
40	0
6441.5500	0.9678	0.9647
6441.7000	0.9682	0.9642
6441.8500	0.9687	0.9655
40	0.8
6436.0000	0.9622	0.9579
6436.1500	0.9628	0.9591
6436.3000	0.9660	0.9622
6436.4500	0.9697	0.9657
6436.6000	0.9697	0.9638
6436.7500	0.9685	0.9644
6436.9000	0.9666	0.9620
6437.0500	0.9628	0.9580
6437.2000	0.9563	0.9530
6437.3500	0.9496	0.9465
6437.5000	0.9385	0.9371
6437.6500	0.9188	0.9214
6437.8000	0.8885	0.8922
6437.9500	0.8553	0.8558
6438.1000	0.8220	0.8200
6438.2500	0.7921	0.7901
6438.4000	0.7672	0.7630
6438.5500	0.7488	0.7455
6438.7000	0.7393	0.7339
6438.8500	0.7409	0.7328
6439.0000	0.7527	0.7391
6439.1500	0.7673	0.7498
6439.3000	0.7792	0.7609
6439.4500	0.7874	0.7717
6439.6000	0.7922	0.7795
6439.7500	0.7962	0.7849
6439.9000	0.8044	0.7962
6440.0500	0.8241	0.8190
6440.2000	0.8524	0.8503
6440.3500	0.8840	0.8843
6440.5000	0.9157	0.9158
6440.6500	0.9364	0.9347
6440.8000	0.9486	0.9449
6440.9500	0.9569	0.9529
6441.1000	0.9621	0.9582
6441.2500	0.9654	0.9616
6441.4000	0.9668	0.9635
6441.5500	0.9673	0.9641
6441.7000	0.9674	0.9641
6441.8500	0.9675	0.9644
40	0.9
6436.0000	0.9656	0.9612
6436.1500	0.9658	0.9609
6436.3000	0.9670	0.9645
6436.4500	0.9676	0.9628
6436.6000	0.9686	0.9657
6436.7500	0.9676	0.9636
6436.9000	0.9690	0.9636
6437.0500	0.9669	0.9623
6437.2000	0.9637	0.9596
6437.3500	0.9572	0.9535
6437.5000	0.9453	0.9415
6437.6500	0.9245	0.9261
6437.8000	0.8953	0.8978
6437.9500	0.8633	0.8624
6438.1000	0.8312	0.8282
6438.2500	0.8027	0.7986
6438.4000	0.7777	0.7739
6438.5500	0.7577	0.7518
6438.7000	0.7427	0.7360
6438.8500	0.7333	0.7248
6439.0000	0.7293	0.7206
6439.1500	0.7325	0.7232
6439.3000	0.7439	0.7349
6439.4500	0.7657	0.7553
6439.6000	0.7939	0.7812
6439.7500	0.8201	0.8061
6439.9000	0.8422	0.8280
6440.0500	0.8622	0.8496
6440.2000	0.8803	0.8699
6440.3500	0.9006	0.8966
6440.5000	0.9252	0.9224
6440.6500	0.9420	0.9392
6440.8000	0.9517	0.9468
6440.9500	0.9585	0.9554
6441.1000	0.9635	0.9589
6441.2500	0.9667	0.9634
6441.4000	0.9694	0.9661
6441.5500	0.9705	0.9670
6441.7000	0.9707	0.9663
6441.8500	0.9709	0.9676
